timestamp,equity
2026-02-26T03:30:00+00:00,25000.00
2026-02-26T03:30:00+00:00,25000.00
2026-02-26T03:30:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T03:45:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:00:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:15:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:30:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T04:45:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:00:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:15:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:30:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T05:45:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:00:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:15:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:30:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T06:45:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:00:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:15:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:30:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T07:45:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:00:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:15:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:30:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T08:45:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:00:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:15:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:30:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T09:45:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:00:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:15:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:30:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T10:45:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:00:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:15:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:30:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T11:45:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:00:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:15:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:30:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T12:45:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:00:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:15:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:30:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T13:45:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:00:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:15:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:30:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T14:45:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:00:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:15:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:30:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T15:45:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:00:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:15:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:30:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T16:45:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:00:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:15:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:30:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T17:45:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:00:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:15:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:30:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T18:45:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:00:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:15:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:30:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T19:45:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:00:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:15:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:30:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T20:45:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:00:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:15:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:30:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T21:45:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:00:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:15:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:30:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T22:45:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:00:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:15:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:30:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-26T23:45:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:00:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:15:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:30:00+00:00,25000.00
2026-02-27T00:45:00+00:00,25000.00
2026-02-27T00:45:00+00:00,25000.00
2026-02-27T00:45:00+00:00,25000.00
